Word,Label,Correction
කාලීනට,0,දිගහැරීම
සතුටට,0,උපදෙස්
සඳහාව,1,-
දැනු,0,සහ
පරිපාලන,1,-
සතුට,1,-
සංචාරක,1,-
ඉස්මතු,1,-
ගැටලු,1,-
සතුට,1,-
කෙරෙමින්,1,-
උපදෙස්ට,0,දිගහැරීම
විධිමත්ත,0,පහසුකම්
කියවති,0,කාලීන
පෙර,1,-
හොඳ,1,-
අර්ථවත්ට,0,කියවීම
වෙනුවෙන්,1,-
පරිපාලනට,0,ආරක්ෂාව
